county,state,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,mean_2010,mean_2011,mean_2012,mean_2013,mean_2014,mean_2015,mean_2016,mean_2017,mean_2018,mean_2019
los angeles county,CA,Los Angeles-Long Beach-Anaheim,6,37,1,388761.1666666667,348483.3333333333,357882.5,457618.75,495295.2083333333,549238.75,594416.0833333334,625883.3333333334,655496.0,649950.0
cook county,IL,Chicago-Naperville-Elgin,17,31,2,237752.33333333334,200448.66666666666,176254.16666666666,192800.0,221143.33333333334,228870.66666666666,247591.25,264671.875,283437.0,284948.5
harris county,TX,Houston-The Woodlands-Sugar Land,48,201,3,153459.875,152171.16666666666,156130.29166666666,179537.45833333334,218333.79166666666,269140.25,275431.7083333333,273575.0,281246.5833333333,278245.0
maricopa county,AZ,Phoenix-Mesa-Scottsdale,4,13,4,160582.08333333334,144094.58333333334,183338.33333333334,231784.58333333334,250773.33333333334,274845.2916666667,289602.5416666667,298189.8333333333,307783.25,309700.0
san diego county,CA,San Diego-Carlsbad,6,73,5,395866.6666666667,359503.125,366282.3333333333,440133.25,485479.1666666667,544329.1666666666,580741.6666666666,593070.8333333334,631412.7083333334,637000.0
orange county,CA,Los Angeles-Long Beach-Anaheim,6,59,6,511279.1666666667,455958.3333333333,473400.0,580699.8333333334,630802.9166666666,679898.5833333334,710856.25,753556.5,786946.9166666666,772000.0
kings county,NY,New York-Newark-Jersey City,36,47,7,456083.3333333333,433302.0833333333,444490.0833333333,447916.6666666667,514187.5,644833.3333333334,737311.6666666666,773749.9166666666,743453.125,725000.0
miami-dade county,FL,Miami-Fort Lauderdale-West Palm Beach,12,86,8,231450.0,231450.0,231450.0,257207.91666666666,285815.6666666667,326496.9583333333,375047.0,385945.0,396615.8333333333,399450.0
dallas county,TX,Dallas-Fort Worth-Arlington,48,113,9,162079.91666666666,150425.0,155155.83333333334,177074.16666666666,197752.29166666666,235206.66666666666,271688.4166666667,302096.3333333333,309087.5,302450.0
queens county,NY,New York-Newark-Jersey City,36,81,10,381835.0,344833.3333333333,305335.5,317856.1666666667,354739.75,402173.7916666667,464791.625,514166.5833333333,543499.7916666666,558250.0
